カテゴリ,入荷日,検査完了日,発注番号,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
メカ,2025-06-06,2025-06-13,,EX002049-02,FA28.2*9.2　L,T-motor,100,1,外観,ポータルのサービス開発購買海外に検査技術要件あり,,,120,1,本社1階,ペーパータオルパーツクリーナー,汚れが多い,非体裁面のキズは体裁面より寛容に
メカ,2025-07-09,2025-07-11,,EX002842-01,GPS mount (AC102),深沢製作所,100,,外観,2024品質基準書,,,35,1,本社1階,,1個づつの個包装,
メカ,2025-07-22,2025-07-25,,EX002050-02,FA28.2*9.2　R　,T-motor,100,14,外観,基準書、限度見本別にあり,西村、長野、石川,,200,3,本社1階,,汚れ、曇りキズ多し,毎回不具合箇所が異なるため、都度判断依頼となっています
メカ,2025-07-22,2025-07-25,,EX002049-02,FA28.2*9.2　L,T-motor,100,14,外観,基準書、限度見本別にあり,西村、長野、石川,,200,3,本社1階,,汚れ、曇りキズ多し,毎回不具合箇所が異なるため、都度判断依頼となっています
メカ,2025-08-04,2025-08-05,,EX000941-11,誘導板 induction plate 6(1),深沢製作所,420,,外観,検査基準書 適用型式AC101P13,西村・西浦,外観全数,90,1,本社1階,,,今回より包装が紙となっている（前回までは袋）
メカ,2025-08-06,2025-08-12,,EX000779,Ball valve mount,金森産業（株）,400,,外観,検査基準書 適用型式AC102,西村,外観全数,50,1,本社1階,,,
メカ,2025-08-06,保留,,EX000837,タンクキャップ(穴追加工),金森産業（株）,200,保留,,,,,,,,,検査不能のため保留,
メカ,2025-08-06,2025-08-12,,EX002040-02,吐出口キャップ,金森産業（株）,200,,外観,検査基準書 適用型式AC102,西村,外観全数,50,1,本社1階,,樹脂の中に小さい黒点あり（機能部品なので見た目は不問にしたい）,
メカ,2025-08-06,2025-08-08,,EX002846-01,ジョイントホルダ,金森産業（株）,200,,外観,検査基準書 適用型式AC102,西村,外観全数,30,1,本社1階,,バリの程度が気になる（許容範囲が不明なため、老衰の原因にならないかどうか）,
メカ,2025-08-06,2025-08-18,,EX000749,スライドポスト,金森産業（株）,1600,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,100,1,本社3階,,,作業中1/520個中1個にネジ穴部にバリあり。過去の検査では不良ト判断しているものは見当たらず
メカ,2025-08-06,2025-08-12,,EX000933-02,シャッターギア s2s-40A-2,金森産業（株）,110,,外観,検査基準書 適用型式AC101P13,西村,外観全数,40,1,本社1階,,歪みは項目に入れるか？実際は歪み無し,
メカ,2025-08-08,2025-08-15,,EX002847-02,FPV Unit cover (AC102),北村化学/サンリード,100,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います
メカ,2025-08-08,2025-08-15,,EX002848-02,FPV Holder (AC102),北村化学/サンリード,100,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います
メカ,2025-08-08,2025-08-12,,EX002561-07,Mecha tray,北村化学/サンリード,100,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,40,1,本社1階,,若干離型剤？付着有り（非体裁面のため見逃し）,寸法は測れない（大きいので）
メカ,2025-08-08,2025-08-15,,EX002545-11,FC Carrier Upper Case,北村化学/サンリード,20,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います
メカ,2025-08-08,2025-08-15,,EX002546-11,FC Carrier Lower Case,北村化学/サンリード,20,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います
メカ,2025-08-08,2025-08-15,,EX002547-11,FC Upper Case,北村化学/サンリード,20,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います
メカ,2025-08-08,2025-08-15,,EX002548-12,FC Lower Case,北村化学/サンリード,20,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,20,1,本社1階,ノギス,,ノギスで計測する位置により誤差が大きいと思います
メカ,2025-08-13,保留,,EX000647,タンクキャップ(AC101),金森産業（株）,100,,,検査基準書 適用型式AC102,,,,,,,,良否判断のための治具が必要
メカ,2025-08-13,2025-08-26,,EX000768,LED cover,金森産業（株）,800,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,40,1,本社1階,,,
メカ,2025-08-13,2025-08-26,,EX000794,Battery mount LH,金森産業（株）,200,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,30,1,本社1階,,,
メカ,2025-08-13,2025-08-26,,EX000795,Battery mount RH,金森産業（株）,200,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,30,1,本社1階,,,
メカ,2025-08-13,2025-08-26,,EX000825,Nozzle mount,金森産業（株）,400,,外観　寸法,検査基準書 適用型式AC102,西村,外観全数,35,1,本社1階,,,
