カテゴリ,入荷日,検査完了日,品番,品名,サプライヤ,入荷数量,不良数量,検査内容,検査資料,作業者,検査数量,検査工数(分),人工,検査場所,検査治具,検査結果・備考,品質基準書修正要否と箇所
エレキ,2025-12-02,2025-12-08,EX002537-01,サーボ AC20-05H-A01,双葉電子工業株式会社,100,0,外観、員数,2025品質基準書（購入部品）　,杉山,外観全数,60,,,,(本件は、N25-01388発注分です。）開梱し、中身の有無確認が有るので工数がかかる。,
エレキ,2025-12-02,2025-12-10,EX002537-01,サーボ AC20-05H-A01,双葉電子工業株式会社,100,0,外観、員数,2025品質基準書（購入部品）　,杉山,外観全数,60,,,,(本件は、N25-02034発注分です。）開梱し、中身の有無確認が有るので工数がかかる。,
エレキ,2025-12-02,2025-12-10,EX002537-01,サーボ AC20-05H-A01,双葉電子工業株式会社,100,0,外観、員数,2025品質基準書（購入部品）　,杉山,外観全数,60,,,,(本件は、N25-01388発注分です。）開梱し、中身の有無確認が有るので工数がかかる。,
エレキ,2026-01-08,2026-01-14,EX002525-01,Hamess(FC-SIG-HUB),ユニット産業（株）,30,0,外観、員数,検査成績資料有り,杉山,外観全数,30,,,,,
エレキ,2026-01-08,2026-01-14,EX002520-02,Hamess(FC-外部LED),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-14,EX002523-01,Hamess(PCM-MC),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-14,EX002522-01,Hamess(PCM-FC),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-14,EX002517-01,Hamess(FC-MC),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-14,EX002525-01,Hamess(PCM-SIG-HUB),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-15,EX002857-01,Hamess(FC-GPSヘリカル/PCM),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-09,2026-01-15,EX002575-03,Hamess(FC-外部USB),ユニット産業（株）,330,0,外観、員数,検査成績資料有り,杉山,外観全数,90,,,,,
エレキ,2026-01-14,2026-01-15,EXA000068-01,SIG Hub基板Assy,明光電子株式会社,198,0,外観、員数,検査成績資料有り,杉山,外観全数,30,1,本社1階,,,
エレキ,2026-01-14,2026-01-15,EXA000071-01,PDB基板Assy,明光電子株式会社,216,0,外観、員数,検査成績資料有り、武田さん確認,杉山,外観全数,30,1,本社1階,,,
エレキ,,2026-01-27,EX002887-01,H-RTK F9P Ultralight,HOLYBRO TECH CO.LTD,250,0,外観、員数,,杉山,外観全数,70,,,,,
エレキ,,2026-02-05,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,250,0,員数,受入検査作業集計 V1.3_追記より,杉山,全数,130,,本社1階,,,
エレキ,,2026-02-05,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,250,0,員数,受入検査作業集計 V1.3_追記より,杉山,全数,130,,本社1階,,,
エレキ,,2026-02-05,EX002617-02,U8 Lite Armset CW（ver2023),T-MOTOR,300,0,員数,受入検査作業集計 V1.3_追記より,杉山,全数,160,,本社1階,,,
エレキ,,2026-02-05,EX002618-02,U8 Lite Armset CCW（ver2023),T-MOTOR,300,0,員数,受入検査作業集計 V1.3_追記より,杉山,全数,160,,本社1階,,,
エレキ,,2026-02-19,EX003013-01,鳥獣害用コネクタ,ユニット産業（株）,130,0,員数,検査成績資料有り,杉山,(外観)全数,30,,本社1階,,検査成績書付きのため員数のみ。１０個／袋詰め含む,
エレキ,2026-02-20,2026-02-20,ZA000034,AC101-P13用ギアBOX,ヨシカワ,42,0,員数,員数のみの指示,杉山,,30,,本社1階,,検査成績書付き,
エレキ,2026-02-27,2026-02-27,EX002521-01,Harness(FC-SIG HUB),ユニット産業（株）,330,,配線長外観,ハーネス図面_AC102,西村,外観全数,30,,本社1階,,,
エレキ,,2026-02-03,,バッテリ　LOG抜き取り,,80,,Log抜き取り,石川さん手順書による,杉山,抜き取り台数分,600,,本社地下１階,USB外付けCAN　I/F,Log提出のみ,
エレキ,,2025-12-24,,チャージャ,,80,,動作確認,石川さん手順書による,杉山,80,1000,,本社地下１階,検査用バッテリ、放電気,OK、チャージャ箱出し：１０分／５台、検査：１０分／台、放電：３０分,
エレキ,,2025-12-15,,バッテリ　LOG抜き取り,,24,,Log抜き取り,石川さん手順書による,杉山,24,210,,本社地下１階,USB外付けCAN　I/F,Log提出のみ,
